OBJECTID,CODUOME,NIF,NOME,TIPOAGRUPAMENTO,MORADA,LOCALIDADE,CONCELHO,DISTRITO,CODESCOLAMESEDE,CODDSR,CODQZP,GRUPONATUREZAINST,NUM_ESCOLAS,FAX,URL,EMAIL,TELEFONE,x,y
13580,152614,600070093,Agrupamento de Escolas de Paredes de Coura,Agrupada,Volta da Quinta,PAREDES DE COURA,Paredes de Coura,Viana do Castelo,343833,Norte,QZP.03,Publico,3,251780209,,direcao@aeparedes-coura.edu.gov.pt;servicos@aeparedes-coura.edu.gov.pt,251780200;251780201,-34843.9029227024,249540.222127517
13581,152626,600075745,Agrupamento de Escolas de Ponte da Barca,Agrupada,Mira Lima - Apartado 57,PONTE DA BARCA,Ponte da Barca,Viana do Castelo,403167,Norte,QZP.03,Publico,4,258480158,www.avepb.pt,direcao@aepb.edu.gov.pt;servicos@aepb.edu.gov.pt,258480150;258455408,-23052.8089396681,237116.625915275
13582,152638,600075168,Agrupamento de Escolas de Ponte de Lima,Agrupada,Rua Cónego Manuel José Barbosa Correia,PONTE DE LIMA,Ponte de Lima,Viana do Castelo,403039,Norte,QZP.03,Publico,3,258909149,http://www.espl.pt/,direcao@aeponte-lima.edu.gov.pt;servicos@aeponte-lima.edu.gov.pt,258909140;258900123,-37247.9333431846,232758.854789623
13583,152640,600076830,"Agrupamento de Escolas de Arcozelo, Ponte de Lima",Agrupada,Vilar - Arcozelo,PONTE DE LIMA,Ponte de Lima,Viana do Castelo,346214,Norte,QZP.03,Publico,7,258909062,www.aearcozelo.pt,direcao@aearcozelo.edu.gov.pt;servicos@aearcozelo.edu.gov.pt,258909060;258741438,-37400.1487465146,235597.659136608
13584,152651,600075664,"Agrupamento de Escolas António Feijó, Ponte de Lima",Agrupada,"R. Dr.Luis Gonzaga, nº 49 - Apartado 7",PONTE DE LIMA,Ponte de Lima,Viana do Castelo,340261,Norte,QZP.03,Publico,7,258909079,http://agvaf.edu.pt/,direcao@aeafeijo.edu.gov.pt;servicos@aeafeijo.edu.gov.pt,258909070;258942028,-37180.5847850332,232868.798998044
13585,152663,600074315,"Agrupamento de Escolas de Freixo, Ponte de Lima",Agrupada,Rua Bouça de Rodas,FREIXO PTL,Ponte de Lima,Viana do Castelo,343821,Norte,QZP.03,Publico,4,258762846,www.aefreixo.pt,direcao@aefreixo.edu.gov.pt;servicos@aefreixo.edu.gov.pt,258761337;258761807,-37874.0587699504,220539.930384602
13586,152675,600074358,"Agrupamento de Escolas de Barroselas, Viana do Castelo",Agrupada,Rua do Couto,BARROSELAS,Viana do Castelo,Viana do Castelo,346202,Norte,QZP.02,Publico,5,258770029,www.aeb.edu.pt,direcao@aebarroselas.edu.gov.pt;servicos@aebarroselas.edu.gov.pt,258770020;258770021,-46663.6076903728,219987.715479053
13587,152687,600074447,"Agrupamento de Escolas de Monte da Ola, Viana do Castelo",Agrupada,Vila Nova de Anha,VILA NOVA DE ANHA,Viana do Castelo,Viana do Castelo,345957,Norte,QZP.02,Publico,13,258331577,www.escolasmontedaola.pt,direcao@monteola.edu.gov.pt;servicos@monteola.edu.gov.pt,258320460;258320462,-54116.6802630559,222352.563152821
13588,150149,600081311,"Agrupamento de Escolas Carlos Amarante, Braga",Agrupada,R. da Restauração,BRAGA,Braga,Braga,401122,Norte,QZP.06,Publico,10,253610072,www.esca.edu.pt,direcao@aecarlosamarante.edu.gov.pt;servicos@aecarlosamarante.edu.gov.pt,253618001;253678737,-23409.9245210294,209066.363917258
13589,151774,600076881,Agrupamento de Escolas de Vila Verde,Agrupada,"Avenida Dr. António Ribeiro Guimarães, 1360",VILA VERDE,Vila Verde,Braga,345430,Norte,QZP.04,Publico,18,253310089,,direcao@aevilaverde.edu.gov.pt;servicos@aevilaverde.edu.gov.pt,253310080;253310081,-24637.167378158,219864.722155132
13590,150850,600081923,"Agrupamento de Escolas António Correia de Oliveira, Esposende",Agrupada,Rua Poeta António Correia de Oliveira,ESPOSENDE,Esposende,Braga,340248,Norte,QZP.05,Publico,12,253960309,http://www.acoliveira.org,direcao@aco.edu.gov.pt;servicos@aco.edu.gov.pt,253960300;253960301,-54194.056705479,207511.609567575
13591,150885,600080773,"Agrupamento de Escolas de Moure e Ribeira do Neiva, Vila Verde",Agrupada,Lugar da Ribeira,MOURE VVD,Vila Verde,Braga,345428,Norte,QZP.04,Publico,11,253927200,https://www.aemourerneiva.com/,direcao@aemourerneiva.edu.gov.pt;servicos@aemourerneiva.edu.gov.pt,253927185;253927186,-28992.9323858251,219113.168127624
13592,150897,600079619,"Agrupamento de Escolas de Prado, Vila Verde",Agrupada,R. Dr. Lima Cruz,VILA DE PRADO,Vila Verde,Braga,342695,Norte,QZP.04,Publico,6,253921749,http://www.aeprado.pt/,direcao@aeprado.edu.gov.pt;servicos@aeprado.edu.gov.pt,253921725;253925001,-27310.9328617958,215013.285052382
13593,150927,600085198,Agrupamento de Escolas de Barcelos,Agrupada,Avenida João Paulo II-Apart. 166,BARCELOS,Barcelos,Braga,403799,Norte,QZP.05,Publico,7,253809368,http://www.esbarcelos.pt,direcao@aebarcelos.edu.gov.pt;servicos@aebarcelos.edu.gov.pt,253809360;253809363,-40155.4967298413,206761.574521917
13594,151245,600079350,"Agrupamento de Escolas de Fragoso, Barcelos",Agrupada,Lugar das Carvalhas,FRAGOSO,Barcelos,Braga,330681,Norte,QZP.05,Publico,5,258770163,,direcao@aefragoso.edu.gov.pt;servicos@aefragoso.edu.gov.pt,258770160;258770165,-48417.0476386091,216089.593310614
13595,150939,600077900,"Agrupamento de Escolas de Vale do Tamel, Barcelos",Agrupada,"Rua 25 de Abril, 350",LIJÓ,Barcelos,Braga,343651,Norte,QZP.05,Publico,14,253808179,www.aevt.pt,direcao@valetamel.edu.gov.pt;servicos@valetamel.edu.gov.pt,253808170;253808071,-39600.9766783748,210406.879547578
13596,150940,600078132,"Agrupamento de Escolas Rosa Ramalho, Barcelos",Agrupada,R. Prof Celestino Costa,BARCELOS,Barcelos,Braga,343675,Norte,QZP.05,Publico,18,253821115,wwwaerosaramalho.pt,direcao@aerosaramalho.edu.gov.pt;servicos@aerosaramalho.edu.gov.pt,253831090;253831971,-41197.6048857902,206219.996629459
13597,151257,600077926,"Agrupamento de Escolas de Vale d’Este, Barcelos",Agrupada,"Rua das Fontainhas, 175",VIATODOS,Barcelos,Braga,343687,Norte,QZP.05,Publico,12,252960209,www.agrupamentovaledeste.pt,direcao@aevaledeste.edu.gov.pt;servicos@aevaledeste.edu.gov.pt,252960200,-35865.209925709,198599.561315979
13598,150952,600081702,"Agrupamento de Escolas André Soares, Braga",Agrupada,R. André Soares,BRAGA,Braga,Braga,340224,Norte,QZP.06,Publico,5,253615094,eb23andresoares@escolas.min-edu.pt,direcao@aeandresoares.edu.gov.pt;servicos@aeandresoares.edu.gov.pt,253214430;253265462,-23649.8043224322,208655.759038209
13599,150964,600078329,"Agrupamento de Escolas de Trigal de Santa Maria, Braga",Agrupada,Avenida do Ciclo,TADIM,Braga,Braga,344485,Norte,QZP.06,Publico,11,253673520,http://aetsm.pt/,direcao@aetsm.edu.gov.pt;servicos@aetsm.edu.gov.pt,253671252,-29249.6493069928,204139.69891711
13600,150976,600077594,"Agrupamento de Escolas Alberto Sampaio, Braga",Agrupada,Rua Álvaro Carneiro,BRAGA,Braga,Braga,400737,Norte,QZP.06,Publico,11,253204228,www.aesas.pt,direcao@aeasampaio.edu.gov.pt;servicos@aeasampaio.edu.gov.pt,253204220;253682210,-23436.6242760594,208296.098057636
13601,150988,600072541,"Agrupamento de Escolas Dr. Francisco Sanches, Braga",Agrupada,R.Travessa do Taxa,BRAGA,Braga,Braga,341540,Norte,QZP.06,Publico,7,253609129,,direcao@aefs.edu.gov.pt;servicos@aefs.edu.gov.pt,253609120;253609121,-23282.6389390431,209521.321879209
13602,150990,600078990,"Agrupamento de Escolas D. Maria II, Braga",Agrupada,R. 25 de Abril,BRAGA,Braga,Braga,401341,Norte,QZP.06,Publico,10,253208792,www.aedonamaria.pt,direcao@aedonamaria.edu.gov.pt;servicos@aedonamaria.edu.gov.pt,253208790,-23775.4018748398,208850.537534955
13603,151002,600080889,"Agrupamento de Escolas de Celeirós, Braga",Agrupada,Av. Sr. da Paciência,CELEIRÓS BRG,Braga,Braga,345623,Norte,QZP.06,Publico,7,253674740,www.aeceleiros.pt,direcao@aeceleiros.edu.gov.pt;servicos@aeceleiros.edu.gov.pt,253304270;253670302,-26293.1948695351,204712.528356142
13604,150241,600078248,"Agrupamento de Escolas Sá de Miranda, Braga",Agrupada,R. Dr. Domingos Soares,BRAGA,Braga,Braga,402849,Norte,QZP.06,Publico,13,253200989,www.aesamiranda.pt,direcao@samiranda.edu.gov.pt;servicos@samiranda.edu.gov.pt,253200980,-23781.3946090653,209765.074624473
13605,150253,600078310,Agrupamento de Escolas de Braga Oeste,Agrupada,"Largo João Martins Oliveira, nº 5",CABREIROS BRG,Braga,Braga,343640,Norte,QZP.06,Publico,10,253911247,www.agrupamentobragaoeste.pt,direcao@aebragaoeste.edu.gov.pt;servicos@aebragaoeste.edu.gov.pt,253919140;253919147,-29802.6135333458,207632.770486801
13606,150319,600084205,Agrupamento de Escolas de Terras de Bouro,Agrupada,Avenida Doutor Artur Adriano Arantes,TERRAS DE BOURO,Terras de Bouro,Braga,345994,Norte,QZP.04,Publico,6,253351075,www.aetb.edu.pt,direcao@aetb.edu.gov.pt;servicos@aetb.edu.gov.pt,253359010;253359012,-14444.6150509174,227633.717839471
13607,150459,600085481,Agrupamento de Escolas de Amares,Agrupada,"Rua da Escola Secundária, N.º 73, Besteiros Amares",BESTEIROS AMR,Amares,Braga,403805,Norte,QZP.04,Publico,8,253993102,,direcao@aeamares.edu.gov.pt;servicos@aeamares.edu.gov.pt,253909330;253909331,-19262.2286275969,218468.818822958
13608,150460,600082105,"Agrupamento de Escolas de Vila Cova, Barcelos",Agrupada,Rua Padre Paulino Ribeiro,VILA COVA BCL,Barcelos,Braga,330164,Norte,QZP.05,Publico,4,253862895,http://www.ebivc.org,direcao@aevc.edu.gov.pt;servicos@aevc.edu.gov.pt,253868038;253862894,-47990.8750652443,209061.576930784
13609,150137,600085449,"Agrupamento de Escolas Alcaides de Faria, Barcelos",Agrupada,Avenida D. Nuno Álvares Pereira,BARCELOS,Barcelos,Braga,400750,Norte,QZP.05,Publico,9,253822833,http://www.aeaf.edu.pt,direcao@aeaf.edu.gov.pt;servicos@aeaf.edu.gov.pt,253801060,-40420.9194484152,207577.853501265
13610,150710,600070298,"Agrupamento de Escolas Gonçalo Nunes, Barcelos",Agrupada,Avenida João Duarte,BARCELOS,Barcelos,Braga,341691,Norte,QZP.05,Publico,10,253813506,www.aegn.pt,direcao@aegnunes.edu.gov.pt;servicos@aegnunes.edu.gov.pt,253812296,-40352.9673941219,207715.975017512
13611,150721,600084256,"Agrupamento de Escolas de Maximinos, Braga",Agrupada,Rua Colégio Orfãos de S. Caetano,BRAGA,Braga,Braga,402205,Norte,QZP.06,Publico,7,253616546,http://www.aemaximinos.net,direcao@aemaximinos.edu.gov.pt;servicos@aemaximinos.edu.gov.pt,253606540;253606541,-25758.1553740929,208194.286331775
13612,151713,600077055,"Agrupamento de Escolas de Mosteiro e Cávado, Braga",Agrupada,Rua da Veiguinha,PANOIAS BRG,Braga,Braga,346652,Norte,QZP.06,Publico,9,253623600,http://mosteiroecavado.net/,direcao@aemcavado.edu.gov.pt;servicos@aemcavado.edu.gov.pt,253300620;253300622,-27657.3175477488,212217.690417719
13613,151725,600077152,"Agrupamento de Escolas de Real, Braga",Agrupada,Avenida de  São Frutuoso - Real,BRAGA,Braga,Braga,345635,Norte,QZP.06,Publico,9,253300299,http://aereal.edu.pt,direcao@aereal.edu.gov.pt;servicos@aereal.edu.gov.pt,253300290;253300291,-25591.5553428336,209876.234139775
13614,152894,600081770,"Agrupamento de Escolas António Rodrigues Sampaio, Esposende",Agrupada,"Avenida João Paulo II, nº 388",ESPOSENDE,Esposende,Braga,346810,Norte,QZP.05,Publico,10,253968046,www.marinhas.org,direcao@aears.edu.gov.pt;servicos@aears.edu.gov.pt,253960210;263960215,-53477.0642653514,210246.944872218
13615,150162,600084230,Agrupamento de Escolas de Cabeceiras de Basto,Agrupada,Campo do Seco-Refojos,CABECEIRAS DE BASTO,Cabeceiras de Basto,Braga,345600,Norte,QZP.08,Publico,8,253662826,www.aecb.pt,direcao@aecb.edu.gov.pt;servicos@aecb.edu.gov.pt,253662338;253664286,12149.4476376501,205044.924028722
13616,151749,600076326,"Agrupamento de Escolas João de Meira, Guimarães",Agrupada,R. Calouste Gulbenkian,GUIMARÃES,Guimarães,Braga,341873,Norte,QZP.07,Publico,3,253416080,www.aejoaodemeira.pt,direcao@aejoaodemeira.edu.gov.pt;servicos@aejoaodemeira.edu.gov.pt,253516914;253516915,-12564.836382007,197350.484090013
13617,151750,600074293,"Agrupamento de Escolas de Briteiros, Guimarães",Agrupada,"Rua João Antunes Guimarães, nº 95",SALVADOR BRITEIROS,Guimarães,Braga,340443,Norte,QZP.07,Publico,8,253578865,www.aebriteiros.pt,direcao@aebriteiros.edu.gov.pt;servicos@aebriteiros.edu.gov.pt,253578849;253578850,-15555.5556124534,205402.759631263
13618,151762,600085929,"Agrupamento de Escolas Camilo Castelo Branco, Vila Nova de Famalicão",Agrupada,R. Padre Benjamim Salgado,VILA NOVA DE FAMALICÃO,Vila Nova de Famalicão,Braga,401055,Norte,QZP.07,Publico,11,252501399,www.aeccb.pt,direcao@aeccb.edu.gov.pt;servicos@aeccb.edu.gov.pt,252501390,-32602.2278033026,192847.060369046
13619,150800,600085554,"Agrupamento de Escolas Padre Benjamim Salgado, Vila Nova de Famalicão",Agrupada,Rua dos Estudantes - Joane,JOANE,Vila Nova de Famalicão,Braga,402400,Norte,QZP.07,Publico,7,252992709,www.aepbs.net,direcao@aebsalgado.edu.gov.pt;servicos@aebsalgado.edu.gov.pt,252996877;252996878,-23505.7671832414,196528.23573245
13620,150812,600078698,"Agrupamento de Escolas Professor Abel Salazar, Guimarães",Agrupada,Rua 13 de Maio,RONFE,Guimarães,Braga,343638,Norte,QZP.07,Publico,5,253540041,http://www.aepas.org/escola/,direcao@aepas.edu.gov.pt;servicos@aepas.edu.gov.pt,253540040;253540042,-20786.0265770923,197189.957408813
13621,151038,600081010,"Agrupamento de Escolas D. Afonso Henriques, Guimarães",Agrupada,Rua Alberto Vieira Braga - Creixomil,GUIMARÃES,Guimarães,Braga,340674,Norte,QZP.07,Publico,5,253418247,www.aeafonsohenriques.pt,direcao@aedah.edu.gov.pt;servicos@aedah.edu.gov.pt,253413410;253414959,-14741.0528118624,196809.949659298
13622,151040,600081184,"Agrupamento de Escolas de Pevidém, Guimarães",Agrupada,R. da Circunvalação,GUIMARÃES,Guimarães,Braga,342622,Norte,QZP.07,Publico,6,253531671,http://www.aepevidem.com/,direcao@aepevidem.edu.gov.pt;servicos@aepevidem.edu.gov.pt,253532335,-18465.3104942358,195914.208876169
13623,151051,600081389,"Agrupamento de Escolas Arqueólogo Mário Cardoso, Guimarães",Agrupada,R. Monte da Insua -  Apartado 4090,PONTE GMR,Guimarães,Braga,342981,Norte,QZP.07,Publico,6,253479799,http://aeamc.edu.pt/,direcao@aeamc.edu.gov.pt;servicos@aeamc.edu.gov.pt,253479790;253479796,-17328.681591896,200924.801658132
13624,151063,600074161,"Agrupamento de Escolas Gil Vicente, Guimarães",Agrupada,Avenida da Igreja-Urgeses,GUIMARÃES,Guimarães,Braga,345556,Norte,QZP.07,Publico,4,253524374,,direcao@agv.edu.gov.pt;servicos@agv.edu.gov.pt,253522403;253522323,-13740.8934779834,195093.161160277
13625,151786,600085759,"Agrupamento de Escolas de Caldas de Vizela, Vizela",Agrupada,"R. Joaquim Costa Chicoria, 1 - S. Miguel",VIZELA,Vizela,Braga,401043,Norte,QZP.07,Publico,9,253587576,,direcao@aecvizela.edu.gov.pt;servicos@aecvizela.edu.gov.pt,253480300,-14948.6603631681,190302.551816547
13626,151075,600081699,"Agrupamento de Escolas D. Maria II, Vila Nova de Famalicão",Agrupada,"Rua da Alegria, 200 - Gavião",VILA NOVA DE FAMALICÃO,Vila Nova de Famalicão,Braga,340856,Norte,QZP.07,Publico,19,252311286,,direcao@aedmaria2.edu.gov.pt;servicos@aedmaria2.edu.gov.pt,252311365;252371749,-31804.5527443242,194202.38601078
13627,150915,600085430,Agrupamento de Escolas de Póvoa de Lanhoso,Agrupada,R. da Misericórdia,PÓVOA DE LANHOSO,Póvoa de Lanhoso,Braga,402588,Norte,QZP.06,Publico,5,253633838,www.espl.edu.pt,direcao@aeplanhoso.edu.gov.pt;servicos@aeplanhoso.edu.gov.pt,253633338;927942033,-10932.8219617826,211598.129715658
13628,151014,600077691,"Agrupamento de Escolas Francisco de Holanda, Guimarães",Agrupada,Alameda Dr. Alfredo Pimenta,GUIMARÃES,Guimarães,Braga,401791,Norte,QZP.07,Publico,4,253514477,www.esfh.pt,direcao@aefholanda.edu.gov.pt;servicos@aefholanda.edu.gov.pt,253412954;253540137,-13859.8116451143,197497.942087454
13629,151026,600081621,"Agrupamento de Escolas das Taipas, Guimarães",Agrupada,Lugar do Trigal - Apartado 4025,GUIMARÃES,Guimarães,Braga,340455,Norte,QZP.07,Publico,7,253470671,,direcao@aetaipas.edu.gov.pt;servicos@aetaipas.edu.gov.pt,253470670;253470674,-18175.5639050443,201649.13162704
13630,100377,600082024,"Agrupamento de Escolas de S. Bento, Vizela",Agrupada,"Rua da Liberdade, n.º 60",ÍNFIAS VIZ,Vizela,Braga,346822,Norte,QZP.07,Publico,5,253587030,https://aesbvizela.edu.gov.pt/,direcao@aesbvizela.edu.gov.pt;servicos@aesbvizela.edu.gov.pt,253480320,-15072.0817950861,191107.784128631
13631,150290,600081850,"Agrupamento de Escolas Virgínia Moura, Guimarães",Agrupada,Avenida 1º de Agosto,MOREIRA DE CÓNEGOS,Guimarães,Braga,343249,Norte,QZP.07,Publico,5,253560169,www.aevm.edu.pt,direcao@aevm.edu.gov.pt;servicos@aevm.edu.gov.pt,253560160;939863426,-18593.5441862645,189261.225199255
13632,150307,600079104,"Agrupamento de Escolas do Vale de São Torcato, Guimarães",Agrupada,S. Torcato,SÃO TORCATO,Guimarães,Braga,345568,Norte,QZP.07,Publico,4,253559879,http://aevst.com/,direcao@aevst.edu.gov.pt;servicos@aevst.edu.gov.pt,253559874,-10939.0929590949,201407.090694753
13633,150320,600078345,"Agrupamento de Escolas Gonçalo Sampaio, Póvoa de Lanhoso",Agrupada,R. 25 de Novembro - S. Pedro,PÓVOA DE LANHOSO,Póvoa de Lanhoso,Braga,342786,Norte,QZP.06,Publico,6,253633815,www.agoncalosampaio.pt,direcao@agoncalosampaio.edu.gov.pt;servicos@agoncalosampaio.edu.gov.pt,253631149;253634791,-11828.7008279102,211662.519633121
13634,150496,600078221,"Agrupamento de Escolas de Montelongo, Fafe",Agrupada,Parque da Cidade - Apartado 324,FAFE,Fafe,Braga,342269,Norte,QZP.08,Publico,8,253494360,aemontelongo.pt,direcao@aemontelongo.edu.gov.pt;servicos@aemontelongo.edu.gov.pt,253490220,-3721.19790345358,198442.048102746
13635,150502,600077470,"Agrupamento de Escolas Prof. Carlos Teixeira, Fafe",Agrupada,Av. da Liberdade,FAFE,Fafe,Braga,342749,Norte,QZP.08,Publico,8,253597354,,direcao@aecteixeira.edu.gov.pt;servicos@aecteixeira.edu.gov.pt,253700680;253700681,-3437.73533887881,197489.878631252
13636,150514,600070476,"Agrupamento de Escolas Arquiteto Fernando Távora, Guimarães",Agrupada,Lugar do Motelo,GUIMARÃES,Guimarães,Braga,345570,Norte,QZP.07,Publico,5,253556075,http://www.agrupamentofernandotavora.edu.pt/site/,direcao@aeft.edu.gov.pt;servicos@aeft.edu.gov.pt,253559260;253559264,-15138.756393862,198516.467451465
13637,150605,600080439,"Agrupamento de Escolas Vieira de Araújo, Vieira do Minho",Agrupada,Rua Drª Maria Júlia Alves Martins,VIEIRA DO MINHO,Vieira do Minho,Braga,343389,Norte,QZP.06,Publico,5,253648245,,direcao@aeva.edu.gov.pt;servicos@aeva.edu.gov.pt,253647201;253646980,-14.6372895292543,218255.210080925
13638,150617,600077640,"Agrupamento de Escolas de Gondifelos, Vila Nova de Famalicão",Agrupada,"Av. Sta Marinha, 257",GONDIFELOS,Vila Nova de Famalicão,Braga,330395,Norte,QZP.07,Publico,5,252952224,www.aegondifelos.pt,direcao@aegondifelos.edu.gov.pt;servicos@aegondifelos.edu.gov.pt,252952155;252952535,-39150.9606300281,194781.49230395
13639,150629,600054357,"Agrupamento de Escolas Terras do Ave, Vila Nova de Famalicão",Agrupada,Avenida de S. Pedro - 956,PEDOME,Vila Nova de Famalicão,Braga,330401,Norte,QZP.07,Publico,10,252987597,www.aepedome.net,direcao@aepedome.edu.gov.pt;servicos@aepedome.edu.gov.pt,252980000;252987463,-21174.6083106828,193995.126748787
13640,150630,600072355,"Agrupamento de Escolas de Ribeirão, Vila Nova de Famalicão",Agrupada,Avenida Rio Veirão - Ribeirão,RIBEIRÃO,Vila Nova de Famalicão,Braga,345453,Norte,QZP.07,Publico,7,252409549,www.eb23-ribeirao.pt,direcao@aeribeirao.edu.gov.pt;servicos@aeribeirao.edu.gov.pt,252409540,-35550.896455384,187777.18281252
13641,150642,600085686,"Agrupamento de Escolas D. Sancho I, Vila Nova de Famalicão",Agrupada,Rua Barão da Trovisqueira,VILA NOVA DE FAMALICÃO,Vila Nova de Famalicão,Braga,401377,Norte,QZP.07,Publico,8,252374686,www.esds1.pt,direcao@aedsancho1.edu.gov.pt;servicos@aedsancho1.edu.gov.pt,252322048,-32686.7016507353,193010.150293023
13642,152882,600085678,Agrupamento de Escolas de Fafe,Agrupada,Avenida da Liberdade,FAFE,Fafe,Braga,403775,Norte,QZP.08,Publico,6,253595964,www.ae-fafe.pt,direcao@ae-fafe.edu.gov.pt;servicos@ae-fafe.edu.gov.pt,253490750;253490758,-3397.08054604909,197580.153307865
13643,152912,600083195,"Agrupamento de Escolas Santos Simões, Guimarães",Agrupada,Rua Dr. Santos Simões,GUIMARÃES,Guimarães,Braga,346834,Norte,QZP.07,Publico,6,253433010,,direcao@aesantossimoes.edu.gov.pt;servicos@aesantossimoes.edu.gov.pt,253439090,-12803.7000992262,198182.986911632
13644,152924,600083497,"Agrupamento de Escolas de Abação, Guimarães",Agrupada,Lugar das Cortinhas,SÃO TOMÉ ABAÇÃO,Guimarães,Braga,346846,Norte,QZP.07,Publico,6,253422439,www.agrupamentoabacao.pt,direcao@agrupamentoabacao.edu.gov.pt;servicos@agrupamentoabacao.edu.gov.pt,253422430,-11261.6665026248,193315.43701737
13645,152754,600075249,Agrupamento de Escolas de Mondim de Basto,Agrupada,Rua da Fontela,MONDIM DE BASTO,Mondim de Basto,Vila Real,346196,Norte,QZP.15,Publico,5,255386598,http://www.portal.agrmondimbasto.com/,direcao@agrmondimbasto.edu.gov.pt;servicos@agrmondimbasto.edu.gov.pt,255246140,14799.4229638872,193241.725793681
13646,150757,600078302,"Agrupamento de Escolas de Perafita, Matosinhos",Agrupada,Rua Oriental s/nº,PERAFITA,Matosinhos,Porto,344163,Norte,QZP.09,Publico,3,229957164,www.aeperafita.pt,direcao@aeperafita.edu.gov.pt;servicos@aeperafita.edu.gov.pt,229969834,-46720.0688074658,173107.978261382
