OBJECTID,CODUOME,NOMEUO,CODESCME,NOME,SEDE,MORADA,LOCALIDADE,CONCELHO,DISTRITO,CODDSR,CODQZP,CICLO,NATUREZAINSTITUCIONAL_DESC,FAX,URL,EMAIL,TELEFONE,x,y
138746,151336,"Agrupamento de Escolas Dr. Manuel Gomes de Almeida, Espinho",401559,"Escola Básica e Secundária Dr. Manuel Gomes Almeida, Espinho",S,Rua 35,ESPINHO,Espinho,Aveiro,Norte,QZP.20,2º Ciclo;3º Ciclo;Secundário;Artistico;Profissional,Redes dos ministérios,227346804,http://www.aemga.pt,direcao@aemalmeida.edu.gov.pt;servicos@aemalmeida.edu.gov.pt,227340580,-42266.0704951471,148256.125871653
138747,151336,"Agrupamento de Escolas Dr. Manuel Gomes de Almeida, Espinho",341009,"Escola Básica e Secundária Domingos Capela, Silvalde, Espinho",N,R. D. Dinis,ESPINHO,Espinho,Aveiro,Norte,QZP.20,2º Ciclo;3º Ciclo;Secundário;Profissional,Redes dos ministérios,227345786,http://www.aescdomingoscapela.pt,eb23.domingoscapela@escolas.min-edu.pt,227342945,-41724.7798630258,147256.841297082
138748,151336,"Agrupamento de Escolas Dr. Manuel Gomes de Almeida, Espinho",297203,"Escola Básica de Silvalde, Espinho",N,Estrada Nacional 109,ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,,,-41699.2181703574,147164.51813359
138749,151336,"Agrupamento de Escolas Dr. Manuel Gomes de Almeida, Espinho",297197,"Escola Básica de Paramos, Espinho",N,Travessa dos Loureiros,ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,,,-41857.8819871977,145767.31296548
138750,151361,"Agrupamento de Escolas Dr. Manuel Laranjeira, Espinho",601159,"Escola Básica de Guetim, Espinho",N,"Rua Luis de Camões, nº114",ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,ji.aldeianovaguetim@escolas.min-edu.pt,227347656,-39811.6163073236,149881.630345133
138751,151361,"Agrupamento de Escolas Dr. Manuel Laranjeira, Espinho",343183,"Escola Básica Sá Couto, Espinho",N,Rua 34,ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Artistico,Redes dos ministérios,227344838,,eb23.sacouto@escolas.min-edu.pt,227330150,-41949.5929391343,148617.472362459
138752,151361,"Agrupamento de Escolas Dr. Manuel Laranjeira, Espinho",401560,"Escola Básica e Secundária Dr. Manuel Laranjeira, Espinho",S,Praceta Dr. Manuel Laranjeira,ESPINHO,Espinho,Aveiro,Norte,QZP.20,2º Ciclo;3º Ciclo;Secundário;Artistico;Profissional,Redes dos ministérios,227344191,http://www.aemlaranjeira.pt,direcao@aemlaranjeira.edu.gov.pt;servicos@aemlaranjeira.edu.gov.pt,227330830,-41754.9017847232,149038.328919269
138753,151361,"Agrupamento de Escolas Dr. Manuel Laranjeira, Espinho",297173,"Escola Básica de Anta, Espinho",N,Rua das Escolas,ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,,,-40610.7870812283,147988.891204137
138754,,,522855,Jardim Infantil Do Centro Social E Paroquial S.Tiago De Silvade,N,"Avenida Albergarias, 116",ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar,IPSS ou equiparada,227323009,,geral@centrosocialsilvalde.pt,227342026
138755,,,508093,Jardim Infantil Do Centro Social De Paramos,N,"Travessa Da Junta, Nº 44",ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar,IPSS ou equiparada,227330879,http://centrosocialparamos.org,ji.csparamos@escolas.min-edu.pt,227330870
138756,,,508718,Cruzada Do Bem - Equipamento Social Costa Verde - Jardim De Infância Costa Verde,N,Travessa Do Lameirão Nº 50,ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar,IPSS ou equiparada,227312895,,ji.costaverde@escolas.min-edu.pt,227330610
138757,,,803218,Externato ""Oliveira Martins"",N,"R. 19 e 21, nº 769-783",ESPINHO,Espinho,Aveiro,Norte,QZP.20,Secundário;Profissional,Particular,227318513,http://www.externatoliveiramartins.com,ext.oliveiramartins@escolas.min-edu.pt,227341468,-42347.4016724306,148917.724296289
138758,,,802818,Escola Profissional de Música de Espinho,N,"Rua 34, nº 884",ESPINHO,Espinho,Aveiro,Norte,QZP.20,Artistico;Profissional;3º Ciclo,Particular,227311932,http://www.musica-esp.pt,ep.musicaespinho@escolas.min-edu.pt,227341145,-42030.9470069413,148573.514079308
138759,,,802803,Escola Profissional de Espinho,N,"Rua 30, nº 611 - Apartado 443",ESPINHO,Espinho,Aveiro,Norte,QZP.20,Profissional;3º Ciclo,Particular,227330435,http://www.espe.pt,ep.espinho@escolas.min-edu.pt,227330430,-42223.0395352409,148884.801472884
138760,,,800212,Jardim De Infância Da Santa Casa Da Misericórdia De Espinho Centro Infantil Espinho Ii,N,Rua 37 - Frente Ao Hospital Nª Senhora Da Ajuda - Espinho,ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar,IPSS ou equiparada,227320064,,ci.espinhoii@escolas.min-edu.pt,227341661
138761,,,523458,Academia de Música de Espinho,N,"Rua 34, nº 884",ESPINHO,Espinho,Aveiro,Norte,QZP.20,2º Ciclo;Artistico,Particular,227311932,,acm.espinho@escolas.min-edu.pt,227340469,-42029.8094887563,148581.170589755
138762,,,806172,Colégio Mãe Galinha,N,"Rua dos Outeiros, n.º 52  - Silvalde",ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar,Particular,,,geral@maegalinha.com,918320747;914765253,-42071.425490164,147885.418245913
138763,,,806210,Colégio Mãe Galinha - Secção,N,"Rua dos Tanoeiros, n.º 87",ESPINHO,Espinho,Aveiro,Norte,QZP.20,1º Ciclo,Particular,,,geral@maegalinha.com,918320747;914765253,-41677.9097596322,144695.82879449
138764,,,807412,Giselle Academia de Dança,S,"Rua das Fábricas Sul, n.º 125",ESPINHO,Espinho,Aveiro,Norte,QZP.20,Artistico,Particular,,,secretaria@giselleacademia.com,914173778,-42651.5892277144,147512.28673269
138765,160155,Agrupamento de Escolas de Estarreja,297045,"Escola Básica Visconde de Salreu, Estarreja",N,Rua Professor Marques Lemos,ESTARREJA,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar;1º Ciclo,Redes dos ministérios,,,,,-35838.2144396089,118659.266420689
138766,160155,Agrupamento de Escolas de Estarreja,401651,Escola Secundária de Estarreja,S,Rua Dr. Jaime Ferreira da Silva,ESTARREJA,Estarreja,Aveiro,Centro,QZP.23,3º Ciclo;Secundário;Artistico;Profissional,Redes dos ministérios,234849625,http://www.esestarreja.net,direcao@aeestarreja.edu.gov.pt;servicos@aeestarreja.edu.gov.pt,234841704,-36749.5486730258,121103.09965755
138767,160155,Agrupamento de Escolas de Estarreja,346044,"Escola Básica Professor Doutor Egas Moniz, Avanca, Estarreja",N,"Rua do Morgado, 120",AVANCA,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Artistico,Redes dos ministérios,234850121,http://ebemoniz.prof2000.pt,eb23.pfdregasmoniz@escolas.min-edu.pt,234850120,-37481.9656677167,126933.056960808
138768,160155,Agrupamento de Escolas de Estarreja,342488,"Escola Básica Padre Donaciano Abreu Freire, Estarreja",N,"Rua da Arrotinha, nº14 - Apartado 25",ESTARREJA,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Artistico,Redes dos ministérios,234849334,http://www.eb23-abreu-freire.com,eb23.pdabreufreire@escolas.min-edu.pt,234840640,-37365.2238306332,121691.20355026
138769,160155,Agrupamento de Escolas de Estarreja,256043,"Escola Básica de Pinheiro, Veiros, Estarreja",N,R. Miguel Valente Almeida Pinheiro,VEIROS ETR,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.pinheiroveiros@escolas.min-edu.pt,234841888,-40639.9695471307,120386.465535851
138770,160155,Agrupamento de Escolas de Estarreja,258120,"Escola Básica de Cabeças, Estarreja",N,"Rua do Cruzeiro, 63",VEIROS ETR,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.cabecasveiros@escolas.min-edu.pt,234842465,-39679.0461471294,120128.614071509
138771,160519,"Agrupamento de Escolas de Pardilhó, Estarreja",330590,"Escola Básica de Pardilhó, Estarreja",S,R. Padre Garrido,PARDILHÓ,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo,Redes dos ministérios,234855237,https://sites.google.com/site/eb123pardilho/,direcao@aepardilho.edu.gov.pt;servicos@aepardilho.edu.gov.pt,234850150,-41326.4986494748,125605.006381304
138772,,,513428,Jardim Infantil Do Centro Social De S. Miguel De Fermelã,N,Rua Do Lameiro,FERMELÃ,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar,IPSS ou equiparada,234914557,,ji.cssmiguelfermela@escolas.min-edu.pt,234914557
138773,,,513430,Jardim Infantil Do Centro Paroquial De Assistência Da Freguesia De Pardilhó,N,R. Salgueiro 3,PARDILHÓ,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar,IPSS ou equiparada,234858721,,,234851566
138774,,,513398,Jardim Infantil Da Fundação Benjamim Dias Costa,N,"R. Da Nestlé, 45",AVANCA,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar,IPSS ou equiparada,234850821,http://www.fundacaobdiascosta.com,ji.fbdiascosta@escolas.min-edu.pt,234850820
138775,,,508263,Jardim Escola João De Deus Estarreja,N,Av. Do Hospital-Agra,SALREU,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar;1º Ciclo,Particular,234842473,,,234842473
138776,,,800147,CERCIESTA Coop. Educ. Reab. Cri. Inadaptadas,N,Rua da Fontinha,ESTARREJA,Estarreja,Aveiro,Centro,QZP.23,,Particular,234843093,,cerciesta@escolas.min-edu.pt,234843093,-36606.6716366866,120726.369109447
138777,,,513416,Centro Social e Paroquial de S. Tomé de Canelas,N,Rua Campo da Cruz nº 46,CANELAS ETR,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar,IPSS ou equiparada,234196858,,csp.stomecanelas@escolas.min-edu.pt,234849912,-35805.4471329684,116522.029814886
138778,,,513404,Centro Paroquial E Social De Stª Marinha De Avanca,N,Lugar Da Igreja,AVANCA,Estarreja,Aveiro,Centro,QZP.23,Pré-escolar,IPSS ou equiparada,234884902,,cp.sstamarinhaavanca@escolas.min-edu.pt,234884902
138779,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",612728,"Jardim de Infância de Gião, Fagilde, Santa Maria da Feira",N,"Rua do Eleito Local, nº711",FIÃES VFR,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.fagildegiao@escolas.min-edu.pt,227632594,-28332.5192661663,147474.204292282
138780,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",613990,"Jardim de Infância de Fornos, Guisande, Santa Maria da Feira",N,R. Jardim de Infância,GUISANDE VFR,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.fornos@escolas.min-edu.pt,256916122,-29011.483405962,145592.016354724
138781,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",242159,"Escola Básica de Póvoa, Santa Maria da Feira",N,"Avª. Igreja, nº303 - Vale",VALE VFR,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.n1.vale@escolas.min-edu.pt,256921508,-25880.4191294808,144952.202223824
138782,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",295346,"Escola Básica de Louredo, Santa Maria da Feira",N,"Rua Domingos Ferreira, nº 45",LOUREDO VFR,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,,,-27127.5714078353,145023.704243038
138783,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",227031,"Escola Básica Professor Joaquim Pereira Valente, Lobão, Santa Maria da Feira",N,Rua Santo António nº75,LOBÃO,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.igrejalobao@escolas.min-edu.pt,256915848,-29814.4904806366,146245.237334086
138784,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",340625,"Escola Básica de Corga do Lobão, Santa Maria da Feira",S,"Rua Principal, nº 2333",LOBÃO,Santa Maria da Feira,Aveiro,Norte,QZP.20,2º Ciclo;3º Ciclo;Artistico,Redes dos ministérios,256915917,http://www.aecorga.pt,direcao@aecorga.edu.gov.pt;servicos@aecorga.edu.gov.pt,256915900,-29382.4753928654,147003.008246451
138785,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",260605,"Escola Básica de Beira, Gião, Santa Maria da Feira",N,"Rua da Escola, nº42",FIÃES VFR,Santa Maria da Feira,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.beiragiao@escolas.min-edu.pt,227634235,-28306.521424454,147561.060761762
138786,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",617003,"Jardim de Infância n.º 1 de Igreja, Sanguedo, Santa Maria da Feira",N,DLE 2ª zona - Fiães,SANGUEDO,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.n1.igrejasanguedo@escolas.min-edu.pt,227440688,-32346.0188127196,148849.993856092
138787,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",632181,"Jardim de Infância de São Domingos, Santa Maria da Feira",N,Praceta do Eleito Local,ARGONCILHE,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.sdargoncilhe@escolas.min-edu.pt,227448137,-34575.5110371246,150127.199432767
138788,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",635741,"Jardim de Infância de Ordonhe, Santa Maria da Feira",N,Rua Escolas de Ordonhe,LOUROSA,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.ordonhe@escolas.min-edu.pt,227440691,-35158.4618790262,148992.076078337
138789,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",601202,"Jardim de Infância de Aldriz, Santa Maria da Feira",N,R. Augusto Sousa Pinto,LOUROSA,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.aldriz@escolas.min-edu.pt,227440733,-33899.5108961219,149505.126780339
138790,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",293374,"Escola Básica n.º 2 de Carvalhal, Santa Maria da Feira",N,Rua das Escolas do Carvalhal,ARGONCILHE,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.ceb1argoncilhe@escolas.min-edu.pt,227640650,-33322.599563781,150955.111576192
138791,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",276388,"Escola Básica de Souto, Santa Maria da Feira",N,Rua das Camélias,NOGUEIRA DA REGEDOURA,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.snregedoura@escolas.min-edu.pt,227647644,-38300.3748709919,148609.090293794
138792,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",270740,"Escola Básica de São Domingos, Santa Maria da Feira",N,Rua Professora Dª Clotilde,ARGONCILHE,Santa Maria da Feira,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.sdargoncilhe@escolas.min-edu.pt,227647003,-34986.5316521199,150240.981007564
138793,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",266383,"Escola Básica de Pousadela de Baixo, Santa Maria da Feira",N,"R. das Alminhas, nº 736",NOGUEIRA DA REGEDOURA,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.pousadela@escolas.min-edu.pt,227647741,-36618.4491866631,148860.165741073
138794,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",293313,"Escola Básica de Arraial, Sanguedo, Santa Maria da Feira",N,"Rua Principal, 1361",SANGUEDO,Santa Maria da Feira,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,227457403,,eb1.arraial@escolas.min-edu.pt,227457403,-32294.5155282516,148834.88566503
138795,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",343602,"Escola Básica de Argoncilhe, Santa Maria da Feira",S,Praceta do Eleito Local - Sta. Maria da Feira,ARGONCILHE,Santa Maria da Feira,Aveiro,Norte,QZP.20,2º Ciclo;3º Ciclo;Artistico,Redes dos ministérios,227455803,http://agrupamento-argoncilhe.edu.pt,direcao@aeargoncilhe.edu.gov.pt;servicos@aeargoncilhe.edu.gov.pt,227455793,-34652.4835346707,150178.648586381
138796,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",202022,"Escola Básica de Aldriz, Santa Maria da Feira",N,R. do Teatro de Aldriz,ARGONCILHE,Santa Maria da Feira,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.n1.aldriz@escolas.min-edu.pt,227440697,-33968.5584733764,149544.648922981
138797,151294,"Agrupamento de Escolas de Canedo, Santa Maria da Feira",644730,"Jardim de Infância de Igreja, Vila Maior, Santa Maria da Feira",N,Rua do Parque Desportivo,PAÇOS DE BRANDÃO,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.igrejavmaior@escolas.min-edu.pt,227632454,-29317.5579721198,148973.992575076
138798,151294,"Agrupamento de Escolas de Canedo, Santa Maria da Feira",240760,"Escola Básica de Presinha, Santa Maria da Feira",N,Rua do Padrão S/N,VILA MAIOR VFR,Santa Maria da Feira,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.presinha@escolas.min-edu.pt,227632463,-29537.7202363075,148679.243137877
138799,151294,"Agrupamento de Escolas de Canedo, Santa Maria da Feira",343584,"Escola Básica de Canedo, Santa Maria da Feira",S,R. do Centro Social 319,CANEDO VFR,Santa Maria da Feira,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo,Redes dos ministérios,227633399,http://www.aecanedo.pt,direcao@aecanedo.edu.gov.pt;servicos@aecanedo.edu.gov.pt,227639056,-27917.5714047814,149257.061615893
138800,151350,"Agrupamento de Escolas Coelho e Castro, Santa Maria da Feira",238569,"Escola Básica de Chão do Rio, Fiães, Santa Maria da Feira",N,"Rua Monte das Pedreiras, 9",FIÃES VFR,Santa Maria da Feira,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.chaorio@escolas.min-edu.pt,227447279,-32480.4314192347,146380.248941381
